sales_month,Channel,ticket_zone,orders,passengers,total_ticket_value,total_margin,fee_old_scheme,fee_new_scheme,fee_delta,fee_delta_pct_of_margin
2022-04,Kayak Group,<$262.50 (fee up),9,12,1196.14,-174.69,0.0,0.0,0.0,-0.0
2022-04,Kayak Group,$262.50-500 (about even),43,44,17547.94,-733.77,0.0,0.0,0.0,-0.0
2022-04,Kayak Group,>$500 (fee down),255,451,499091.34,7046.13,0.0,0.0,0.0,0.0
2022-04,Other,<$262.50 (fee up),33,45,6171.82,122.04,0.0,0.0,0.0,0.0
2022-04,Other,$262.50-500 (about even),15,19,5725.04,179.76,0.0,0.0,0.0,0.0
2022-04,Other,>$500 (fee down),28,44,26493.9,1152.27,0.0,0.0,0.0,0.0
2022-05,Aeroprice,<$262.50 (fee up),3593,4330,334618.14,-3260.73,13384.73,37726.5,24341.77,-746.51
2022-05,Aeroprice,$262.50-500 (about even),538,773,206300.36,311.12,8252.01,7847.06,-404.95,-130.16
2022-05,Aeroprice,>$500 (fee down),1351,2450,2340739.2,35590.7,32171.42,25669.0,-6502.42,-18.27
2022-05,Direct,<$262.50 (fee up),282,337,32662.64,1755.52,0.0,0.0,0.0,0.0
2022-05,Direct,$262.50-500 (about even),96,118,35235.68,961.65,0.0,0.0,0.0,0.0
2022-05,Direct,>$500 (fee down),528,918,1064008.16,18711.76,0.0,0.0,0.0,0.0
2022-05,Google Flights,<$262.50 (fee up),253,276,37210.49,327.58,0.0,0.0,0.0,0.0
2022-05,Google Flights,$262.50-500 (about even),240,275,93404.42,2312.88,0.0,0.0,0.0,0.0
2022-05,Google Flights,>$500 (fee down),1613,2375,2904452.3,54570.18,0.0,0.0,0.0,0.0
2022-05,Jetcost,<$262.50 (fee up),30,43,4791.18,136.06,0.0,0.0,0.0,0.0
2022-05,Jetcost,$262.50-500 (about even),44,76,17457.33,444.32,0.0,0.0,0.0,0.0
2022-05,Jetcost,>$500 (fee down),50,126,43041.74,1616.8,0.0,0.0,0.0,0.0
2022-05,Jetradar,<$262.50 (fee up),51,58,9071.93,547.44,0.0,0.0,0.0,0.0
2022-05,Jetradar,$262.50-500 (about even),55,83,20228.16,297.94,0.0,0.0,0.0,0.0
